Icon,Meaning,Token
:‑) :) :D :o) :] :3 :c) :> =] 8) =) :} :^) :っ),Smiley or happy face.[4][5][6],smiley
:‑D 8‑D 8D x‑D xD X‑D XD =‑D =D =‑3 =3 B^D,"Laughing,[4] big grin,[5][6] laugh with glasses[7]",laughing
:-)),Very happy or double chin[7],very happy
>:[ :‑( :( :‑c :c :‑< :っC :< :‑[ :[ :{,"Frown,[4][5][6] sad[8]",frowning
;(,"Winky frowny, used to signify sadness, with a bit of sarcasm. It is easily misunderstood.[9]",winky frowny
:-|| :@ >:(,Angry[7],angry
:'‑( :'(,Crying[8],crying
:'‑) :'),Tears of happiness[8],tears of joy
D:< D: D8 D; D= DX v.v D‑':,"Horror, disgust, sadness, great dismay[5][6]",horrified
>:O :‑O :O :‑o :o 8‑0 O_O o‑o O_o o_O o_o O-O,"Surprise,[3] shock,[4][10] yawn[11]",surprised
:* :-* :^* ( '}{' ),"Kiss, couple kissing[7]",kissing
";‑) ;) *-) *) ;‑] ;] ;D ;^) :‑,","Wink,[4][5][6] smirk[10][11]",winking
>:P :‑P :P X‑P x‑p xp XP :‑p :p =p :‑Þ :Þ :þ :‑þ :‑b :b d:,"Tongue sticking out, cheeky/playful,[4] blowing a raspberry",tongue sticking out
>:\ >:/ :‑/ :‑. :/ :\ =/ =\ :L =L :S >.<,"Skeptical, annoyed, undecided, uneasy, hesitant[4]",skeptical
:| :‑|,"Straight face[5] no expression, indecision[8]",straight-faced
:$,"Embarrassed,[6] blushing[7]",embarrassed
:‑X :X :‑# :#,Sealed lips or wearing braces[4],sealed lips
O:‑) 0:‑3 0:3 0:‑) 0:) 0;^),"Angel,[4][5][10] saint,[8] innocent",angel
>:) >;) >:‑),Evil[5],evil
}:‑) }:) 3:‑) 3:),Devilish[8],devilish
o/\o ^5 >_>^ ^<_<,High five[11],high five
|;‑) |‑O,"Cool,[8] bored/yawning[10]",cool
:‑J,Tongue-in-cheek[12],tongue-in-cheek
:‑& :&,Tongue-tied[8],tongue-tied
#‑),Partied all night[8],partied all night
%‑) %),"Drunk,[8] confused",drunk
:‑###.. :###..,Being sick[8],being sick
<:‑|,"Dumb, dunce-like[10]",dunce-like
ಠ_ಠ,Look of disapproval[13] The Unicode character ಠ is from the Kannada alphabet and can be called differently in HTML notation: &#3232; and &#x0CA0; (for Unicode),disapproving look
( ͡° ͜ʖ ͡°) ( ͡°͜ ͡°),"Lenny Face,[14] usually used in accompaniment to a joke",Lenny Face
<*)))‑{ ><(((*> ><>,"Fish, something's fishy,[10] Christian fish[7]",fishy
\o/,"Cheer ""Yay, yay.""[7]",yay yay!
*\0/*,Cheerleader[7],cheerleader
@}‑;‑'‑‑‑ @>‑‑>‑‑,Rose[4][10],rose
~(_8^(I),Homer Simpson[10],Home Simpson
5:‑) ~:‑\,Elvis Presley[10][11],Elvis Presley
//0‑0\\,John Lennon[10],John Lennon
*<|:‑),Santa Claus[15],Santa Claus
=:o],Bill Clinton[15],Bill Clinton
",:‑) 7:^]",Ronald Reagan[15],Ronald Reagan
</3,broken-heart (reverse-rotation)[16],heart
<3,Heart[17],broken-hearted
